hour,minute,volatility,success,next_return,target,multiplier
6,53,30905.7551,0.3866,0.0,2589,0.5
6,54,30154.679,0.3944,0.0,2586,0.5
6,55,30262.7315,0.4074,0.0,2592,0.5
6,56,31188.3443,0.3898,0.0,2591,0.5
6,57,30215.0289,0.385,0.0,2595,0.5
6,58,29894.5539,0.3971,-0.0,2589,0.5
6,59,30225.2218,0.3957,0.0,2593,0.5
7,0,37476.1722,0.4581,0.0,2602,0.5
7,1,35365.3477,0.393,0.0,2603,0.5
7,2,33192.3817,0.3759,0.0,2599,0.5
7,3,32707.5145,0.3838,0.0,2595,0.5
7,4,32421.7007,0.3944,0.0,2599,0.5
7,5,33277.2011,0.396,0.0,2601,0.5
7,6,32318.4787,0.3934,0.0,2603,0.5
7,7,32357.6953,0.3855,0.0,2586,0.5
7,8,31262.8945,0.3868,0.0,2598,0.5
7,9,30825.1829,0.3897,0.0,2597,0.5
7,10,31960.8445,0.4019,0.0001,2605,0.5
7,11,31626.4456,0.3948,-0.0,2594,0.5
7,12,31548.7852,0.3822,-0.0,2593,0.5
7,13,31747.7791,0.3862,0.0,2589,0.5
7,14,28884.9115,0.3891,0.0,2598,0.5
7,15,31533.282,0.4182,0.0,2599,0.5
7,16,32398.3083,0.4002,0.0,2601,0.5
7,17,32851.5385,0.3831,0.0,2600,0.5
7,18,31751.3451,0.3909,-0.0,2602,0.5
7,19,30834.0393,0.3893,0.0,2597,0.5
7,20,32410.8378,0.3982,-0.0,2602,0.5
7,21,31705.4531,0.3848,0.0,2604,0.5
7,22,30364.4752,0.4041,0.0,2601,0.5
7,23,29698.0769,0.3758,0.0,2600,0.5
7,24,29858.6247,0.3938,-0.0,2603,0.5
7,25,31026.892,0.3746,0.0,2603,0.5
7,26,29766.3587,0.3853,-0.0,2598,0.5
7,27,30173.2616,0.4011,0.0,2603,0.5
7,28,30203.8462,0.3869,-0.0,2600,0.5
7,29,28372.7378,0.3762,0.0,2597,0.5
7,30,32577.0706,0.4248,-0.0,2608,0.5
7,31,32655.0269,0.3822,0.0,2606,0.5
7,32,31520.5374,0.377,0.0001,2605,0.5
7,33,31623.8955,0.3922,0.0,2603,0.5
7,34,30146.3134,0.3606,0.0,2604,0.5
7,35,31665.5186,0.406,0.0,2613,0.5
7,36,31474.3295,0.3862,0.0,2610,0.5
7,37,31751.1521,0.3917,0.0,2604,0.5
7,38,31023.0681,0.3856,-0.0,2601,0.5
7,39,30523.2424,0.3857,-0.0,2603,0.5
7,40,30774.6641,0.3869,-0.0,2605,0.5
7,41,30209.9193,0.3875,0.0,2601,0.5
7,42,29741.7625,0.3943,-0.0,2610,0.5
7,43,30499.616,0.3909,0.0,2604,0.5
7,44,29273.0073,0.392,0.0,2597,0.5
7,45,31613.5229,0.4099,-0.0,2603,0.5
7,46,31524.2121,0.3839,-0.0,2602,0.5
7,47,30363.6711,0.3767,0.0,2615,0.5
7,48,30115.0,0.3819,-0.0,2600,0.5
7,49,28747.316,0.3777,-0.0,2608,0.5
7,50,30268.714,0.3893,0.0,2605,0.5
7,51,29852.4339,0.394,-0.0001,2609,0.5
7,52,29601.5326,0.3778,0.0,2610,0.5
7,53,30416.5067,0.38,0.0,2605,0.5
7,54,30087.6723,0.3959,0.0,2612,0.5
7,55,29492.5487,0.4008,0.0001,2617,0.5
7,56,29707.3077,0.4069,-0.0,2600,0.5
7,57,29126.3926,0.3815,0.0,2603,0.5
7,58,28428.5714,0.4006,-0.0,2611,0.5
7,59,27673.8214,0.3956,0.0,2609,0.5
8,0,34575.2585,0.4355,-0.0,2611,0.5
8,1,33321.8126,0.3932,0.0,2604,0.5
8,2,32478.7112,0.3702,-0.0,2607,0.5
8,3,31169.3487,0.3866,-0.0,2610,0.5
8,4,31650.7876,0.3907,-0.0,2603,0.5
8,5,33180.6353,0.4099,0.0001,2613,0.5
8,6,32710.1227,0.4099,0.0,2608,0.5
8,7,31702.2666,0.3965,0.0,2603,0.5
8,8,29756.995,0.3887,-0.0,2609,0.5
8,9,29751.0549,0.3932,0.0,2607,0.5
8,10,31230.3565,0.404,0.0,2609,0.5
8,11,30851.5117,0.3781,-0.0,2613,0.5
8,12,30139.7932,0.3784,-0.0,2611,0.5
8,13,29118.0315,0.3895,-0.0,2601,0.5
8,14,28413.41,0.4054,0.0,2610,0.5
8,15,32070.5521,0.4298,0.0,2608,0.5
8,16,31426.1668,0.3956,-0.0,2614,0.5
8,17,30544.6189,0.3864,0.0,2611,0.5
8,18,30456.0798,0.3924,-0.0,2607,0.5
8,19,29248.371,0.3917,0.0,2609,0.5
8,20,31006.1185,0.3996,-0.0,2615,0.5
8,21,30161.4883,0.3751,-0.0,2607,0.5
8,22,29513.7931,0.3766,-0.0,2610,0.5
8,23,28971.5931,0.3804,-0.0,2605,0.5
8,24,28408.969,0.3994,-0.0,2609,0.5
8,25,30167.0498,0.4061,0.0,2610,0.5
8,26,29179.9693,0.3887,0.0,2606,0.5
8,27,29518.9728,0.3837,-0.0,2609,0.5
8,28,28945.977,0.3682,-0.0,2610,0.5
8,29,28324.1379,0.3743,0.0,2610,0.5
8,30,30448.0644,0.4128,0.0,2609,0.5
8,31,30270.291,0.3871,0.0,2612,0.5
8,32,29832.6953,0.3886,-0.0,2612,0.5
8,33,29395.7854,0.364,-0.0,2610,0.5
8,34,28864.1928,0.3849,0.0,2614,0.5
8,35,29042.0811,0.3768,-0.0,2614,0.5
8,36,28354.8757,0.3901,-0.0,2615,0.5
8,37,28710.728,0.3847,0.0,2610,0.5
8,38,27526.4165,0.3809,-0.0,2612,0.5
8,39,27725.3926,0.3765,-0.0,2611,0.5
8,40,27502.8725,0.3964,-0.0,2611,0.5
8,41,28152.9908,0.3788,0.0,2608,0.5
8,42,28060.0612,0.3906,-0.0,2614,0.5
8,43,26544.4104,0.3637,-0.0,2612,0.5
8,44,27248.4663,0.3811,0.0,2608,0.5
8,45,28899.7321,0.4156,-0.0001,2613,0.5
8,46,29298.4273,0.3778,-0.0,2607,0.5
8,47,28242.4358,0.3566,0.0,2611,0.5
8,48,27953.6931,0.3961,-0.0,2613,0.5
